Type                                  Module                      Label             Process        Full Name                                              Split level
EBDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"          EBDigiCollection_simEcalUnsuppressedDigis__HLT         1
EBDigiCollection                      "simEcalUnsuppressedDigis"   "APD"             "HLT"          EBDigiCollection_simEcalUnsuppressedDigis_APD_HLT      1
EBDigiCollection                      "simEcalDigis"              "ebDigis"         "HLT"          EBDigiCollection_simEcalDigis_ebDigis_HLT              1
EEDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"          EEDigiCollection_simEcalUnsuppressedDigis__HLT         1
EEDigiCollection                      "simEcalDigis"              "eeDigis"         "HLT"          EEDigiCollection_simEcalDigis_eeDigis_HLT              1
ESDigiCollection                      "simEcalPreshowerDigis"     ""                "HLT"          ESDigiCollection_simEcalPreshowerDigis__HLT            1
ESDigiCollection                      "simEcalUnsuppressedDigis"   ""                "HLT"          ESDigiCollection_simEcalUnsuppressedDigis__HLT         1
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"          FEDRawDataCollection_rawDataCollector__HLT             1
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "HLT"          GlobalObjectMapRecord_simGtStage2Digis__HLT            1
HcalDataFrameContainer<QIE10DataFrame>    "simHcalDigis"              "HFQIE10DigiCollection"   "HLT"          QIE10DataFrameHcalDataFrameContainer_simHcalDigis_HFQIE10DigiCollection_HLT     1
HcalDataFrameContainer<QIE10DataFrame>    "simHcalUnsuppressedDigis"   "HFQIE10DigiCollection"   "HLT"          QIE10DataFrameHcalDataFrameContainer_simHcalUnsuppressedDigis_HFQIE10DigiCollection_HLT     1
HcalDataFrameContainer<QIE11DataFrame>    "simHcalDigis"              "HBHEQIE11DigiCollection"   "HLT"          QIE11DataFrameHcalDataFrameContainer_simHcalDigis_HBHEQIE11DigiCollection_HLT     1
HcalDataFrameContainer<QIE11DataFrame>    "simHcalUnsuppressedDigis"   "HBHEQIE11DigiCollection"   "HLT"          QIE11DataFrameHcalDataFrameContainer_simHcalUnsuppressedDigis_HBHEQIE11DigiCollection_HLT     1
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"          L1MuDTChambPhContainer_simDtTriggerPrimitiveDigis__HLT     1
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"          L1MuDTChambThContainer_simDtTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdCSCALCTDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdCSCCLCTDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdCSCCLCTPreTriggerDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"          CSCDetIdCSCComparatorDigiMuonDigiCollection_simMuonCSCDigis_MuonCSCComparatorDigi_HLT     1
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"          CSCDetIdCSCCorrelatedLCTDigiMuonDigiCollection_simCscTriggerPrimitiveDigis__HLT     1
